"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","0","0","19","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultDeferredDecalMaterial.DefaultDeferredDecalMaterial","0","0","115","1","0.000000","0","0"
"/Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial","0","0","962","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque","0","0","36","1","0.000000","0","0"
"/Engine/EngineMaterials/PPM_DefaultCalibrationGrayscale.PPM_DefaultCalibrationGrayscale","0","0","4","1","0.000000","0","0"
"/Engine/EngineMaterials/PPM_DefaultCalibrationColor.PPM_DefaultCalibrationColor","0","0","4","1","0.000000","0","0"
"/Game/SuperGrid/StarterPack/Materials/Base/M_SuperGrid_Modern.M_SuperGrid_Modern","0","0","42","1","0.000000","0","42"
"/Game/SuperGrid/StarterPack/Materials/Base/M_SuperGrid_Glowing_MultiColor.M_SuperGrid_Glowing_MultiColor","0","0","21","1","0.000000","0","21"
"/Engine/Tutorial/SubEditors/TutorialAssets/M_smoke_subUV_blackbody.M_smoke_subUV_blackbody","0","0","24","1","0.000000","0","0"
"/Game/Spiders/Materials/M_Hair.M_Hair","0","0","70","1","0.000000","0","0"
"/Game/Spiders/Materials/M_Spider2.M_Spider2","0","0","24","1","0.000000","0","0"
"/Game/AdvancedMagicFX13/Materials/M_ky_slash01_4x4.M_ky_slash01_4x4","0","0","80","1","0.000000","0","0"
"/Engine/MaterialTemplates/PerfTricks/M_SpecularUsingDiffuse.M_SpecularUsingDiffuse","0","24","2","1","22.524267","0","160"
"/Game/_Project/Art/model/player/Maxx1.Maxx1","0","0","24","1","0.000000","0","0"
"/Game/_Project/Art/model/player/lambert2.lambert2","0","0","24","1","0.000000","0","0"
"/Game/_Project/Art/model/player/Default_Material.Default_Material","0","0","24","1","0.000000","0","0"
"/Engine/BasicShapes/BasicShapeMaterial.BasicShapeMaterial","0","0","63","1","0.000000","0","0"
"/Game/Drone01_Complete/Drone_Textures/M_Wings/drone01_low_M_Wing_BaseColor_Mat.drone01_low_M_Wing_BaseColor_Mat","0","24","2","1","22.438625","0","60"
"/Game/Drone01_Complete/Drone_Textures/M_Tail/drone01_low_M_Tail_BaseColor_Mat.drone01_low_M_Tail_BaseColor_Mat","0","24","24","1","22.828470","0","43"
"/Game/Drone01_Complete/Drone_Textures/M_Legs/drone01_low_M_Legs_BaseColor_Mat.drone01_low_M_Legs_BaseColor_Mat","0","24","8","1","29.909349","0","71"
"/Game/Drone01_Complete/Drone_Textures/M_Head/drone01_low_M_Head_BaseColor_Mat.drone01_low_M_Head_BaseColor_Mat","0","24","24","1","29.353149","0","40"
"/Game/Drone01_Complete/Drone_Textures/M_Guns/drone01_low_M_Guns_BaseColor_Mat.drone01_low_M_Guns_BaseColor_Mat","0","24","6","1","29.972157","0","71"
"/Game/SuperGrid/TutorialLevel/Utility/Materials/M_Utility_Light.M_Utility_Light","0","0","33","1","0.000000","0","0"
"/Game/_Project/Art/Mats/M_UnlitMaster.M_UnlitMaster","0","0","8","1","0.000000","0","0"
"/Game/_Project/Art/Mats/M_Master1.M_Master1","0","21","21","1","28.694687","0","36"
"/Engine/EngineSky/M_Sky_Panning_Clouds2.M_Sky_Panning_Clouds2","0","0","2","1","0.000000","0","0"
"/Engine/EditorMaterials/PreviewShadowIndicatorMaterial.PreviewShadowIndicatorMaterial","0","0","19","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","0","0","8","1","0.000000","0","0"
"/Game/_Project/Art/PP/PP_Blur.PP_Blur","0","0","4","1","0.000000","0","0"
"/Game/Spiders/Materials/M_SpiderEggs.M_SpiderEggs","0","0","12","1","0.000000","0","0"
"/Game/Spiders/Materials/M_Spider3.M_Spider3","0","0","24","1","0.000000","0","0"
"/Game/Spiders/Materials/M_Spider1.M_Spider1","0","0","24","1","0.000000","0","0"
"/Game/AdvancedMagicFX13/Materials/M_ky_empty.M_ky_empty","0","48","14","1","38.707756","0","133"
"/Game/AdvancedMagicFX13/Materials/M_ky_thunderForBeam.M_ky_thunderForBeam","0","0","40","1","0.000000","0","0"
"/Game/AdvancedMagicFX13/Materials/M_ky_vortex03.M_ky_vortex03","0","56","2","1","57.703388","0","126"
"/Game/AdvancedMagicFX13/Materials/M_ky_tornado01.M_ky_tornado01","0","56","56","1","65.179070","0","56"
"","0","1","0","1","0.000000","195","0"
"/Game/AdvancedMagicFX13/Materials/M_ky_vortex04_4x4.M_ky_vortex04_4x4","0","144","85","2","134.802887","0","482"
"/Game/AdvancedMagicFX13/Materials/M_ky_flare_flash.M_ky_flare_flash","0","112","60","2","114.267303","0","508"
"/Game/AdvancedMagicFX13/Materials/M_ky_fire03b.M_ky_fire03b","0","120","69","2","101.169930","0","498"
"/Game/AdvancedMagicFX13/Materials/M_ky_shockWave03_4x4.M_ky_shockWave03_4x4","0","0","120","2","0.000000","0","0"
"/Game/AdvancedMagicFX13/Materials/M_ky_stone02.M_ky_stone02","0","110","5","1","93.023964","0","2712"
"/Game/AdvancedMagicFX13/Materials/M_ky_base_turbulence.M_ky_base_turbulence","0","56","7","1","52.647484","0","450"
"/Game/AdvancedMagicFX13/Materials/M_ky_line.M_ky_line","0","0","40","1","0.000000","0","0"
"/Game/AdvancedMagicFX13/Materials/M_ky_aura18.M_ky_aura18","0","0","60","1","0.000000","0","0"
"/Game/AdvancedMagicFX13/Materials/M_ky_primitive_dyn02.M_ky_primitive_dyn02","0","72","93","2","72.019653","0","539"
"/Game/AdvancedMagicFX13/Materials/M_ky_flare01_primitive.M_ky_flare01_primitive","0","0","450","6","0.000000","0","0"
"/Game/AdvancedMagicFX13/Materials/M_ky_dynDust.M_ky_dynDust","0","56","7","1","50.895493","0","421"
"/Game/AdvancedMagicFX13/Materials/M_ky_primitive.M_ky_primitive","0","105","4","1","86.641006","0","1233"
"/Game/AdvancedMagicFX13/Materials/M_ky_auraWall02.M_ky_auraWall02","0","0","48","1","0.000000","0","0"
"/Game/AdvancedMagicFX13/Materials/M_ky_starDust.M_ky_starDust","0","90","195","3","77.205414","0","852"
"/Game/AdvancedMagicFX13/Materials/M_ky_primitiveColor.M_ky_primitiveColor","0","72","188","3","67.235367","0","509"
"/Game/AdvancedMagicFX13/Materials/M_ky_auraWall01.M_ky_auraWall01","0","48","67","2","47.432110","0","308"
"/Game/AdvancedMagicFX13/Materials/M_ky_dust01.M_ky_dust01","0","60","8","1","48.844189","0","434"
"/Game/AdvancedMagicFX13/Materials/M_ky_circle04.M_ky_circle04","0","40","7","1","38.681950","0","214"
"/Game/AdvancedMagicFX13/Materials/M_ky_polarGlow02.M_ky_polarGlow02","0","48","4","1","49.830326","0","263"
"/Game/AdvancedMagicFX13/Materials/M_ky_lensFlare02.M_ky_lensFlare02","0","40","7","1","43.454708","0","238"
"/Game/AdvancedMagicFX13/Materials/M_ky_shockwave08.M_ky_shockwave08","0","60","9","1","52.377914","0","447"
"/Game/AdvancedMagicFX13/Materials/M_ky_polarShockwave02.M_ky_polarShockwave02","0","48","64","2","52.846764","0","329"
"/Game/AdvancedMagicFX13/Materials/M_ky_gaseous03.M_ky_gaseous03","0","56","7","1","55.700661","0","376"
"/Game/AdvancedMagicFX13/Materials/M_ky_trailGround01_2.M_ky_trailGround01_2","0","0","56","1","0.000000","0","0"
"/Game/AdvancedMagicFX13/Materials/M_ky_shockWave05_2.M_ky_shockWave05_2","0","0","60","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultParticle.DefaultParticle","0","0","168","1","0.000000","0","0"
"/Game/AdvancedMagicFX13/Materials/M_ky_dust02.M_ky_dust02","0","0","60","1","0.000000","0","0"
"/Game/AdvancedMagicFX13/Materials/M_ky_aura09.M_ky_aura09","0","0","60","1","0.000000","0","0"
"/Game/AdvancedMagicFX13/Materials/M_ky_fire03b2.M_ky_fire03b2","0","60","5","1","50.004459","0","379"
"/Game/AdvancedMagicFX13/Materials/M_ky_waterDust.M_ky_waterDust","0","192","8","1","241.314240","0","2772"
"/Game/AdvancedMagicFX13/EpicContent/Materials/M_DemoWallPattern.M_DemoWallPattern","0","0","63","3","0.000000","0","0"
"/Game/AdvancedMagicFX13/EpicContent/Materials/M_DemoRoomTiles.M_DemoRoomTiles","0","0","27","1","0.000000","0","0"
"/Game/AdvancedMagicFX13/EpicContent/Materials/M_LightTube.M_LightTube","0","0","2","1","0.000000","0","0"
"/Game/AdvancedMagicFX13/EpicContent/Materials/M_DemoWall.M_DemoWall","0","0","99","1","0.000000","0","0"
"/Game/AdvancedMagicFX13/Materials/M_ky_slash02_4x4.M_ky_slash02_4x4","0","0","60","1","0.000000","0","0"
"/Game/AdvancedMagicFX13/Materials/M_ky_trailGround01.M_ky_trailGround01","0","72","8","1","78.039940","0","545"
"/Game/AdvancedMagicFX13/EpicContent/Materials/M_DefaultTextMaterialTranslucentUnlit.M_DefaultTextMaterialTranslucentUnlit","0","0","150","1","0.000000","0","0"
"/Game/AdvancedMagicFX13/EpicContent/Materials/M_Glass.M_Glass","0","0","80","2","0.000000","0","0"
"/Game/SuperGrid/StarterPack/Materials/Base/M_SuperGrid_Holographic.M_SuperGrid_Holographic","0","0","36","2","0.000000","0","16"
"/Game/SuperGrid/StarterPack/Materials/Base/M_SuperGrid_MultiColor.M_SuperGrid_MultiColor","0","0","108","2","0.000000","0","54"
"/Game/SuperGrid/StarterPack/Materials/Base/M_SuperGrid_SingleColor.M_SuperGrid_SingleColor","0","0","84","2","0.000000","0","42"
"/Game/SuperGrid/StarterPack/Materials/Base/M_SuperGrid_MetalCustom.M_SuperGrid_MetalCustom","0","0","168","4","0.000000","0","42"
"/Game/SuperGrid/StarterPack/Materials/Base/M_SuperGrid_Hexagon.M_SuperGrid_Hexagon","0","0","84","2","0.000000","0","42"
"/Game/SuperGrid/StarterPack/Materials/Base/M_SuperGrid_Orientation.M_SuperGrid_Orientation","0","0","42","1","0.000000","0","42"
"/Game/_Project/cruey/Minigame_System/Materials/Base/M_Tutorial.M_Tutorial","0","0","21","1","0.000000","0","0"
"/Game/_Project/Art/model/player/cyborg.cyborg","0","0","12","1","0.000000","0","0"
"/Game/SuperGrid/TutorialLevel/MaterialInstances/M_PureBlack.M_PureBlack","0","0","21","1","0.000000","0","0"
"/Game/DesertDragon/Material/M_DesertDragon.M_DesertDragon","0","0","24","1","0.000000","0","0"
